full_name,birth_year,death_year,party_entrance_year,party_entrance_month,ethnicity
Абакаров Абдурашид Ибрагимович,1908,1957,1911,20,Даргинец
Аббакумов (Абакумов) Иван Алексеевич,1903,1961,1928,6,Русский
Абрамов Владимир Хачатурович,1914,1983,1938,7,Армянин
Абрамян Лазарь Сергеевич,1908,1979,1940,9,Армянин
Абузаров Ахмет Закирович,1908,1981,1937,9,Татарин
Аванесов Аркадий Арсенович,1907,1974,1938,5,Армянин
Аверин Макар Алексеевич,1897,1987,1920,1,Русский
Авсеевич Александр Александрович,1899,NA,1926,4,Белорус
Агафонов Константин Васильевич,1917,NA,1939,6,волисполкома)
Агаянц Иван Иванович,1911,1968,1936,12,Армянин
Агаянц Михаил Иванович,1906,1959,1928,10,Армянин
Агеенков Филипп Андреевич,1909,1946,1929,10,Русский
Агекян Мартирос Ервандович,1902,1985,1920,2,Родился в семье строжа (отец умер в 1917). В КП с 02.20.
Агжигитов (Акжигитов) Гумер Ибрагимович,1909,1973,1939,11,Татарин
Агибаев Зайкен Агибаевич,1909,1956,1939,5,Казах. В КП с 05.39.
Адуков Магомед Султанович,1910,NA,1938,9,Аварец
Адяев Сергей Карпович,1912,1964,1938,11,Русский
Айдамиров Мирза Мелик Оглы,1901,1988,1931,10,Азербайджанец
Албогачиев Султан Измаилович,1906,NA,1938,6,Ингуш
Алейников Петр Михайлович,1915,1988,1943,3,Русский
Александров Александр Наумович,1903,1945,1927,11,учителя (отец умер в 1919)
Александров Владимир Николаевич,1912,1980,1943,1,Русский
Александров Лев Петрович,1910,1975,1942,10,Русский
Александров Макарий Павлович,1906,1960,1927,10,Русский
Алексеев Иван Васильевич,1908,1989,1937,2,Русский
Алексеев Иван Сергеевич,1907,1979,1940,5,Русский
Алексеев Константин Тимофеевич,1912,1986,1939,5,Русский
Алексеев Николай Михайлович,1904,NA,1930,10,Русский
Аленцев Виктор Терентьевич,1904,1978,1926,12,Русский
Алидин Виктор Иванович,1911,2002,1932,5,Русский
Алиев Пирмухаммед,1907,1943,1928,4,Узбек
Алиев Таджи-Али,1912,1972,1939,4,Узбек
Алимов Ариф,1912,NA,1941,4,Узбек
Алиходжаев Сафо,1908,NA,1931,10,Узбек
Аллахвердов Михаил Андреевич,1900,1968,1920,4,Армянин
Альтшуллер Исаак Константинович,1903,NA,1927,4,Еврей
Амелин Николай Михайлович,1893,1959,1919,8,Русский
Андреев Василий Романович,1906,1951,1927,4,Русский
Андреев Михаил Александрович,1906,1971,1931,10,Русский
Андреев Михаил Алексеевич,1902,1986,1924,10,Русский
Андреев Петр Ефимович,1906,1984,1937,4,Русский
Андреев Сергей Михайлович,1899,1976,1918,10,Русский
Аникин Александр Федорович,1903,1961,1930,6,Русский
Анисимов Василий Леонтьевич,1906,1963,1931,9,Русский
Анохин Николай Александрович,1898,1974,1918,5,Русский
Антонов Алексей Семенович,1912,1979,1931,9,Русский
Антонюк Иван Авксентьевич,1901,1984,1928,1,Украинец
Аполлонов Аркадий Николаевич,1907,1978,1931,7,Русский
Арзамасцев Семен Абрамович,1902,1979,1919,8,Русский
